glyph_unified	src_ref	pronunciation	meaning
󵛀	D2-0001	t͡ɕʰe²¹	门（口），路（口），碗（口），村（口）。
󵛁	D2-0002	tʰə³³	拃（动量）。
󵛂	D2-0003	ka³³	中（间），生命。
󵛃	D2-0004	d͡zə³³	商量。
󵛄	D2-0005	d͡ʑi²¹	（～lu²¹）福禄。
󵛅	D2-0006	pʰɛ²¹	糠。
󵛆	D2-0007	kʰo³³	北，北边。
󵛇	D2-0008	ti³³	祭奠。
󵛈	D2-0009		替字符号。
󵛉	D2-0010	bo²¹	（木）屑。
󵛊	D2-0011	tʰo³³	在掌上，掌粑粑，拍。
󵛋	D2-0012	tʰu³³	穿过，通过，跨过。
󵛌	D2-0013	ʂi⁵⁵	箍，箍桶。
󵛍	D2-0014	kɯ³³	九。
󵛎	D2-0015	d͡ʐɯ³³	街子，集市。
󵛏	D2-0016	t͡ʂʰu³³	铲，刮。
󵛐	D2-0017	d͡ʐə³³	面牙，犬牙。
󵛑	D2-0018	pia³³	低，矮。
󵛒	D2-0019	zi⁵⁵	（～mu²¹）蓖（麻），蓖麻。
󵛓	D2-0020	tʰe⁵⁵	敲，打（石头）。
󵛔	D2-0021	d͡ʐɯ²¹	低头。
󵛕	D2-0022	tʰi⁵⁵	换衣服，整装，除夕。
󵛖	D2-0023	tio²¹	少。
󵛗	D2-0024	pia²¹	打草布，裱纸。
󵛘	D2-0025	lo²¹	（ɕio²¹～）（魔）芋，魔芋。
󵛙	D2-0026	t͡ɕa⁵⁵	监狱。
󵛚	D2-0027	ʑo²¹	痒苏。
󵛛	D2-0028	ɣɯ²¹	（t͡ʂʰɯ³³～）甘蔗。
󵛜	D2-0029	le³³	（后脖）颈。
󵛝	D2-0030	pʰia²¹	（si²¹～）温和，和蔼。
󵛞	D2-0031	t͡ʂʰə³³	称，秤，（一）斤。
󵛟	D2-0032	fu³³	媒（人）。
󵛠	D2-0033	t͡sʰɛ²¹	锯（动词）。
󵛡	D2-0034	pe³³	（t͡ʂʰa²¹～）伙伴，朋友。
󵛢	D2-0035	dɛ²¹	挨（着坐）。
󵛣	D2-0036	t͡ɕʰi²¹	一群，一伙。
󵛤	D2-0037	fu³³	纠缠。
󵛥	D2-0038	piu³³	豪猪，刺猬。
󵛦	D2-0039	bɯ³³	（～di³³）垟，墙，埂子。
󵛧	D2-0040	ɣɯ²¹	（tʰɑ²¹～）纸。
󵛨	D2-0041	d͡zi²¹	土司，官。
󵛩	D2-0042	du²¹	弩担。
󵛪	D2-0043	a³³	词头。
󵛫	D2-0044	mi²¹	（苍）蝇，苍蝇。
󵛬	D2-0045	be²¹	散乱。
󵛭	D2-0046	bo²¹	队（量词）。
󵛮	D2-0047	t͡ɕʰe⁵⁵	毛毛（路），小路。
󵛯	D2-0048	pʰe⁵⁵	放（水）。
󵛰	D2-0049	d͡ʐɯ³³	酒。
󵛱	D2-0050	du²¹	（水）井，池塘。
󵛲	D2-0051	tə⁵⁵	埋。
󵛳	D2-0052	d͡ʑu³³	怕。
󵛴	D2-0053	pʰio²¹	布。
󵛵	D2-0054	pʰɛ²¹	（sɛ²¹～）梅子，杏子。
󵛶	D2-0055	mi²¹	寂寞，孤独。
󵛷	D2-0056	kʰu²¹	（喉）结，喉结。
󵛸	D2-0057	t͡sʰa³³	人。
󵛹	D2-0058	lɛ²¹	宽敞。
󵛺	D2-0059	fa³³	后，太，（皇）后，（官）太太。
󵛻	D2-0060	pʰu²¹	（口袋）涨，鼓。
󵛼	D2-0061	hɯ²¹	披毡。
󵛽	D2-0062	tʰi⁵⁵	（铃）铛，铃铛。
󵛾	D2-0063	ȵi⁵⁵	野（猪）。
󵛿	D2-0064	d͡ʐɯ³³	罪过，罪行，起因（由…带来的后果）。
󵜀	D2-0065	t͡sʰə³³	请（客）。
󵜁	D2-0066	ȵio⁵⁵	外（面）。
󵜂	D2-0067	sua³³	（野兽）蹿（山）。
󵜃	D2-0068	ta²¹	阻止，阻挡。
󵜄	D2-0069	ve²¹	水蛭，蚂蟥。
󵜅	D2-0070	bɯ²¹	（猪）拱（地）。
󵜆	D2-0071	bu²¹	蝴（蝶），蝴蝶。
󵜇	D2-0072	le³³	（我）也（去）。
󵜈	D2-0073	pʰia³³	衣服。
󵜉	D2-0074	d͡ʑi²¹	瞌（睡）。
󵜊	D2-0075	ȵi²¹	（黄）牛。
󵜋	D2-0076	t͡sɛ³³	炸（雷）。
󵜌	D2-0077	t͡si⁵⁵	（bɯ²¹～）虾子。
󵜍	D2-0078	bɛ³³	脱（皮）。
󵜎	D2-0079	t͡sə³³	（天）晴。
󵜏	D2-0080	ɣɯ²¹	（东西）在。
󵜐	D2-0081	pʰɛ²¹	（未下过蛋的）小母鸡。
󵜑	D2-0082	vu³³	（～di³³）野猫。
󵜒	D2-0083	bə³³	（～lə³³）干净，清净。
󵜓	D2-0084	ʂo³³	做（窝），寻（踪）。
󵜔	D2-0085	nɛ³³	嘛（助词），假如，如果。
