glyph_unified	src_ref	pronunciation	meaning
󶞁	U2-0002
󶞂	U2-0003
󶞄	U2-0005
󶞅	U2-0006
󶞇	U2-0008
󶞈	U2-0009
󶞉	U2-0010
󶞍	U2-0014
󶞎	U2-0015
󶞏	U2-0016
󶞐	U2-0017
󶞑	U2-0018
󶞒	U2-0019
󶞓	U2-0020
󶞔	U2-0021
󶞕	U2-0022
󶞗	U2-0024
󶞘	U2-0025
󶞙	U2-0026
󶞛	U2-0028
󶞝	U2-0030
󶞞	U2-0031
󶞟	U2-0032
󶞠	U2-0033
󶞢	U2-0035
󶞣	U2-0036
󶞤	U2-0037
󶞥	U2-0038
󶞦	U2-0039
󶞧	U2-0040
󶞨	U2-0041
󶞩	U2-0042
󶞪	U2-0043
󶞫	U2-0044
󶞬	U2-0045
󶞭	U2-0046
󶞯	U2-0048
󶞰	U2-0049
󶞱	U2-0050
󶞳	U2-0052
󶞴	U2-0053
󶞵	U2-0054
󶞶	U2-0055
󶞷	U2-0056
󶞸	U2-0057
󶞹	U2-0058
󶞻	U2-0060
󶞼	U2-0061
󶞽	U2-0062
󶞿	U2-0064
󶟀	U2-0065
󶟁	U2-0066
󶟂	U2-0067
󶟃	U2-0068
󶟄	U2-0069
󶟅	U2-0070
󶟆	U2-0071
󶟇	U2-0072
󶟈	U2-0073
󶟉	U2-0074
󶟊	U2-0075
󶟋	U2-0076
󶟌	U2-0077
󶟍	U2-0078
󶟎	U2-0079
󶟏	U2-0080
󶟐	U2-0081
󶟑	U2-0082
󶟓	U2-0084
󶟖	U2-0087
󶟗	U2-0088
󶟙	U2-0090
󶟚	U2-0091
󶟛	U2-0092
󶟜	U2-0093
󶟝	U2-0094
󶟞	U2-0095
󶟠	U2-0097
󶟡	U2-0098
󶟤	U2-0101
󶟥	U2-0102
󶟦	U2-0103
󶟧	U2-0104
󶟨	U2-0105
󶟩	U2-0106
󶟪	U2-0107
󶟫	U2-0108
󶟬	U2-0109
󶟭	U2-0110
󶟮	U2-0111
󶟯	U2-0112
󶟰	U2-0113
󶟱	U2-0114
󶟲	U2-0115
󶟳	U2-0116
󶟴	U2-0117
󶟵	U2-0118
󶟶	U2-0119
󶟷	U2-0120
󶟸	U2-0121
󶟹	U2-0122
󶟺	U2-0123
󶟻	U2-0124
󶟼	U2-0125
󶟾	U2-0127
󶟿	U2-0128
󶠀	U2-0129
󶠁	U2-0130
󶠂	U2-0131
󶠄	U2-0133
󶠅	U2-0134
