glyph_unified	src_ref	pronunciation	meaning
	Q0-00101	pi⁵⁵	关，闭：〖关门〗。盖：〖盖子〗，〖盖甑子〗。
	Q0-00102	pi⁵⁵	丙（天干数）：〖丙子〗。
	Q0-00103	pi⁵⁵	〖耳镯〗。
	Q0-00104	pi⁵⁵	闭：〖闭眼〗。
	Q0-00105	pi⁵⁵	背（背物，使动）：〖抱石头给他背〗。
	Q0-00106	pi⁵⁵	茧：〖手茧〗。
	Q0-00107	pi³³	（词缀）：〖尖溜溜〗。锋：〖不锋利〗。
	Q0-00108	pi³³	〖海螺〗。
	Q0-00109	pi¹³	行，可以：〖可以吃可以喝〗。〖难〗：〖难做〗。
	Q0-00110	pi¹³	（干）草：〖稻草〗。秸秆：〖豆秆〗。哨子：〖唢呐哨子〗。
	Q0-00111	pi¹³	雄性（指禽类）：〖雄雉〗，〖雄鸡〗。
	Q0-00112	pi¹³	依据：〖有依据吗？〗。〖格言〗，〖谚语〗。
	Q0-00113	pi¹³	〖头发〗（指头部某些突出部分）。〖前额〗。〖下巴〗。
	Q0-00114	pi²¹	逼：〖他逼我〗。
	Q0-00115	pie¹³	很：〖很多〗。
	Q0-00116	pɪ³³	跳：〖跳去跳来〗。瘸：〖跛脚，瘸子〗。
	Q0-00201	pɪ³³	渣：〖豆渣〗。脏：〖肮脏〗。〖不要的，嫌弃的〗。
	Q0-00202	pɪ³³	〖死沉沉〗。
	Q0-00203	pɪ¹³	（被）弃：〖指嫁不出去的或被休的女人〗。
	Q0-00204	pɪ¹³	猫：〖咒猫语〗。
	Q0-00205	pɪ¹³	抠：〖抠出来〗。剥：〖剥核桃〗。
	Q0-00206	pɪ²¹	本（钱）：〖没有本钱〗。
	Q0-00207	pɪ²¹	泡（量词）：〖一泡口痰〗。〖一泡尿〗。
	Q0-00208	pe⁵⁵	避，让：〖让路〗。撤出：〖撤出火炉中的燃料〗。飞舞：〖蝴蝶飞舞〗。
	Q0-00209	pe⁵⁵	〖全部，所有〗。
	Q0-00210	pe³³	〖阴门〗。
	Q0-00211	pɑ⁵⁵	钩：〖钩子〗。轴：〖门枢（门转轴）〗。〖弯拐杖〗。
	Q0-00212	pɑ⁵⁵	帮：〖帮忙，助手〗。合作：〖相互合作〗。
	Q0-00213	pɑ⁵⁵	乳：〖乳房〗。吸，喂：〖给小孩喂奶〗。浆：〖树浆〗。
	Q0-00214	pɑ³³	搭配：〖搭配着吃〗。调：〖取青色红色，黄白黑相调，做成日月眼〗。伴：〖伙伴，同志〗。像…一样：〖我不像你一样〗。
	Q0-00215	pɑ³³	敌，仇：〖敌人，仇人〗。比喻：〖打比方〗。
	Q0-00301	pɑ³³	碗：〖木碗〗。
	Q0-00302	pɑ³³	挂牵，思念：〖思念〗。
	Q0-00303	pɑ¹³	绊：〖绊脚绊手〗。扣：〖扣上门〗。挂：〖挂起来〗。挑：〖挑衣服（用长杆子挑高处或远处的东西）〗。碰：〖别碰〗。
	Q0-00304	pɑ¹³	假：〖假意〗。
	Q0-00305	pɑ¹³	牵扯：〖牵扯他〗。
	Q0-00306	pɑ²¹	〖菌子〗。
	Q0-00307	po⁵⁵	〖布波举奢哲（彝族古代圣贤）〗。
	Q0-00308	po³³	贩卖，交易：〖贩卖粮食〗。挡，赶（强行使牲畜往一定方向走）：〖赶牲畜到箐里〗。〖商人〗。
	Q0-00309	po³³	爆：〖爆炸〗。煎：〖煎鸡蛋〗。（植物叶上的泡斑）：〖烟叶起泡斑〗。
