glyph_unified	src_ref	pronunciation	meaning
	U1-00101	pi⁵⁵	关，闭。
	U1-00102	pi⁵⁵	盖。隐瞒。
	U1-00103	pi⁵⁵	使…背。
	U1-00104	pi⁵⁵	茧。
	U1-00201	pi⁵⁵	丙。
	U1-00202	pi⁵⁵	唢（呐）。觱（篥）。
	U1-00203	pi³³	（形容词缀）〖尖溜溜〗。使…分散。
	U1-00204	pi³³	秸秆，干草。
	U1-00205	pi¹³	来由。〖格言，谚语〗。
	U1-00206	pi¹³	雄性（指禽类）。〖布拖〗（县名）。
	U1-00301	pi¹³	容易。
	U1-00302	pi¹³	（头部某些突出部分）〖前额〗。
	U1-00303	pi²¹	〖荨麻〗。
	U1-00304	pi²¹	
	U1-00305	pɪ³³	跳。动。
	U1-00306	pɪ³³	渣。〖糊状〗。〖不清洁，不卫生〗。
	U1-00401	pɪ³³	跛。
	U1-00402	pɪ¹³	掏。
	U1-00403	pɪ²¹	本（钱）。
	U1-00404		让。
	U1-00501		阴门。
	U1-00502		分（蘖）。
	U1-00503		〖戒指〗。
	U1-00504		蚌。
	U1-00505		（平面物体扭）翘。
	U1-00506		（木板的）节巴眼。
	U1-00507		（作）揖。祷告。
	U1-00601		乳。哺乳。
	U1-00602		钩。
	U1-00603		帮（助）。
	U1-00604		（食用肉的前缀词素）〖吃肉〗。〖喜鹊〗。
	U1-00605		认。
	U1-00606		搭配。合作。
	U1-00701		
	U1-00702		群（量词）。
	U1-00703		绊。
	U1-00704		连累。
	U1-00705		〖蘑菇〗。
	U1-00801		（刀的前缀词素）〖刀子〗。巴（豆）。
	U1-00802		特地，专门。
	U1-00803		（带柄工具名称的后缀词素）〖伞〗。把（量词）。（毛）倒，反。〖摞棒〗。
	U1-00804		在场。
	U1-00805		
	U1-00806		（一定的）数量。
	U1-00901		绸缎。茧。
	U1-00902		（襁）褓。
	U1-00903		钢。
	U1-00904		〖耳朵〗。
	U1-00905		〖强调〗。
	U1-00906		爆。（植物上的）泡斑。
	U1-01001		交易。贩卖。
	U1-01002		煎，炸。
	U1-01003		材料。〖啄木鸟〗。
	U1-01004		（糖的前缀词素）〖糖〗。
	U1-01005		纬（线）。
	U1-01006		保护。担保。
	U1-01101		〖拳头〗。〖胳膊〗。
	U1-01102		拐骗（人）。
	U1-01103		〖栘依果〗。
	U1-01104		刺（耳），吵（耳朵）。
	U1-01105		肚（腹）。
	U1-01201		使…滚。
	U1-01202		〖毛毛雨〗。〖沄雨〗。
	U1-01203		臀。〖腰杆〗。
	U1-01204		〖（松、杉的）嫩尖〗。
	U1-01205		缸，桶。（专指）桶。〖棺材〗。
	U1-01206		蛙类。
	U1-01301		龟。
	U1-01302		（手）掌。
	U1-01303		（父系血缘相邻两辈间的）关系。
	U1-01304		（花）朵。（量词）〖一朵花〗。
	U1-01305		论（说）。
	U1-01306		雄性（泛指家畜）。
	U1-01401		嘟（嘴）。
	U1-01402		搜查，抄。
	U1-01403		驯服。〖田埂〗。
	U1-01404		〖骨头〗。
	U1-01405		刺猬。
	U1-01406		毕（摩）。〖毕摩祭祖灵〗。〖毕主哪慕格〗。念诵。〖崩遮博〗。
	U1-01501		绞。〖电缆〗。
	U1-01502		裱褙。
	U1-01503		调，拌。
	U1-01504		（嘴）唇。
	U1-01505		（形容词缀）〖光溜溜〗。
	U1-01506		堆（动词）。
	U1-01507		码，叠（动词）。
	U1-01601		浓，稠。
	U1-01602		渣，豆渣。汤中的菜。干的（与稀相对）。
	U1-01603		含化。
	U1-01604		（叹词）。〖武德本〗。〖敌博火液〗。
	U1-01701		沾。
	U1-01702		〖蚕豆（胡豆）〗。
	U1-01703		神龛。〖肺〗。
	U1-01704		〖烧（炒）肉的气味〗。
	U1-01705		很（副词）。
	U1-01801		耍赖。
	U1-01802		
	U1-01803		祖考（男祖先）。
	U1-01804		〖（不会产崽的）母畜〗。
	U1-01805		〖哨子〗，〖空壳〗。〖破烂〗。
	U1-01901		价值，价格。
	U1-01902		〖臀部〗。
	U1-01903		祖妣（女祖先）。〖皮聂〗。
	U1-01904		〖外祖母〗。〖舅娘〗。
	U1-01905		〖平安〗，〖顺利〗。
	U1-01906		〖厦子（小屋檐）〗。
	U1-01907		肿。
	U1-01908		〖瘿袋（大脖子）〗。
	U1-02001		慢。
	U1-02002		〖丢丑，丢脸〗。
	U1-02003		爵禄。碑刻。
	U1-02004		指责。放出（塘水、田水）。
	U1-02005		〖脾气〗。
	U1-02006		叠，折。
	U1-02101		卷（衣袖、裤脚）。
	U1-02102		翘。
	U1-02103		（饮食过量）呕吐。
	U1-02104		（恶心）呕吐。
	U1-02105		（吐）口水。
	U1-02106		（剖）开。
	U1-02107		幅（量词）。匹（量词），〖一匹名帛〗。
	U1-02201		卷，本（量词）。
	U1-02202		缺损。
	U1-02203		呛。打喷嚏。
	U1-02204		〖钹〗。〖瓢〗。
	U1-02205		〖单眼皮〗。
	U1-02206		〖咂酒〗。
	U1-02207		旗。
	U1-02301		页（码）。
	U1-02302		使…落。
	U1-02303		灰（色）。
	U1-02304		胛骨。
	U1-02305		〖灰尘〗。
	U1-02306		〖背皮（背物套在额头上的皮带）〗。
	U1-02307		剥。挑（刺）。
	U1-02308		（漂流，浪荡）〖浪子〗。
	U1-02401		分养（母畜）。
	U1-02402		别。另。〖另外〗。
	U1-02403		边（方位词）。方（面）。
	U1-02404		叶。片（量词）。
	U1-02405		半。
	U1-02501		（一双里的一）只。
	U1-02502		
	U1-02503		解释。
	U1-02504		翻（开）。
	U1-02505		（奴）婢。
	U1-02506		酥，松脆（指食品）。松软。
	U1-02601		方法，办法，措施。
	U1-02602		檬，〖檬树，姜子树，柚栗子树〗。
	U1-02603		（蜂）窝。
	U1-02604		逃。
	U1-02605		轻率，马虎。
	U1-02606		父（母），（阴）阳，男（女）。
	U1-02701		脑盖，〖头盖骨〗，〖头顶〗。
	U1-02702		遇，〖他俩相遇〗。
	U1-02703		〖茯苓〗。
	U1-02704		族（人）。（某地、某类）人。〖姑父〗，〖公公〗。
	U1-02705		板，片。牌。
	U1-02706		
	U1-02707		（成团的物质）〖泥巴团〗，〖饭团〗。
	U1-02801		瓶，壶。
	U1-02802		癣。生癣。
	U1-02803		锅。锅（量词）。
	U1-02804		〖野葱（苦蒜）〗。
	U1-02805		〖土块〗。
	U1-02806		〖群众，百姓〗。
	U1-02901		代替字（无实际意义）。
	U1-02902		代音字（无实际意义）。
	U1-02903		壅（土）。
	U1-02904		糊涂。
	U1-02905		喷（水）。
	U1-02906		（液体沸腾）溢出。
	U1-02907		
	U1-02908		开。
	U1-02909		劈（路）。
	U1-03001		胀。
	U1-03002		（土）地。濮（人），〖武濮所〗，〖濮吐珠液〗。
	U1-03003		供养。
	U1-03004		豁（出）。
	U1-03005		布。
	U1-03006		丛，蓬。〖喳蓬蓬〗。
	U1-03101		潮（水）。
	U1-03102		〖说话（讽刺〗）。
	U1-03201		给。
	U1-03202		〖臭味，怪味〗。
	U1-03203		〖膀胱〗。
	U1-03204		背（动词）。
	U1-03205		〖天花〗。
	U1-03206		分散，散开。散乱。
	U1-03301		象声词（像枪弹飞驰声）。
	U1-03302		虫。蚕。〖螃蟹〗。
	U1-03303		〖小腿肚〗。
	U1-03304		蹄子。〖脚后跟〗。
	U1-03305		（屋）脊。（牛背）峰。
	U1-03306		欠（债）。
	U1-03307		（颤）抖。
	U1-03401		〖另外〗。〖人名，地名用字〗。
	U1-03402		松球。
	U1-03403		〖陀螺〗。
	U1-03404		
	U1-03405		起始。〖布，默，彝族六祖的第五，第六支系的名称〗。
	U1-03406		葵花。
	U1-03501		拖。〖腰包，衣兜〗。〖韧绵（形容食物不易嚼烂〗）。
	U1-03502		〖葫芦〗。
	U1-03503		破。
	U1-03504		（开）裂。
	U1-03505		
	U1-03601		鼻涕。
	U1-03602		落（在），落（入）。
	U1-03603		骈（pián）生（并列而生）。
	U1-03604		鸭子。
	U1-03605		茁壮。
	U1-03606		吵（架）。
	U1-03607		袍（披袍）。
	U1-03608		（豆）荚。〖酸角〗。
	U1-03701		落，掉。〖柏雅妥洪，今四川古蔺，为古代彝族且兰地方政权所在地〗。
	U1-03702		戏弄，逗乐。
	U1-03703		〖阿别纳，一种原始的彝族舞蹈〗。〖黄鼠狼〗。〖脚后跟〗。
	U1-03704		（银杏。（苤（pie）蓝）。
	U1-03705		〖芝麻〗。〖柿子〗。
	U1-03706		〖篱笆〗。〖当面羞人〗。
	U1-03707		〖螃蟹〗。
	U1-03801		晒（太阳）。
	U1-03802		〖牛（斗架。（象声词（公羊追逐母羊发出的声音〗。
	U1-03803		（野）鸭。〖鸳鸯〗。
	U1-03804		锤子。〖蜥蜴〗。
	U1-03805		〖虾子〗。
	U1-03806		小。〖词尾〗。
	U1-03901		（（1）规规整整。（2）严严实实。）。
	U1-03902		爸爸，父亲，爹。
	U1-03903		（相）依。〖想念，挂念〗。
	U1-03904		（收庄稼掉落的）籽实。
	U1-03905		帘子。编（帘子）。
	U1-03906		容量大。
	U1-03907		（牛的）蜂巢胃。
	U1-03908		〖婚配。（巴第赫吐，彝语贵州威宁草海〗。）。
	U1-04001		（乐器的）簧片。
	U1-04002		（须）根。
	U1-04003		（墙壁的）洞眼。
	U1-04004		〖木瓜〗。〖敷衍〗。
	U1-04005		痴呆。
	U1-04006		方，面。
	U1-04101		〖猫头鹰〗。
	U1-04102		（你，我，他）的。
	U1-04103		背（孩子）。
	U1-04104		烙。
	U1-04105		〖牛奶〗。
	U1-04106		疮。
	U1-04107		
	U1-04201		吻。
	U1-04202		（富）有。
	U1-04203		倍（数）。
	U1-04204		（黑）暗。
	U1-04205		〖广阔〗。〖撮箕〗。
	U1-04206		和睦。
	U1-04207		（用牛羊角做的）号角。
	U1-04301		〖盖头帕（妇女头饰〗。〖包茅，俗名扁竹叶，彝族祭祀时，将包茅插在灵位之前，酒洒于其上，以示祭献神灵，古称“包茅缩酒”〗。
	U1-04302		替。
	U1-04303		〖陀螺，一种儿童玩具〗。
	U1-04304		〖显然〗。
	U1-04305		（洋）芋，马铃薯。
	U1-04401		〖灶〗。
	U1-04402		〖毛发蓬松〗。
	U1-04403		墙。
	U1-04404		（不）止，（不）仅。
	U1-04405		坤（卦）。人名用词。
	U1-04406		鬼。
	U1-04501		〖祖父，爷爷〗。
	U1-04502		旁边。
	U1-04503		跟（同）。
	U1-04504		破，损。
	U1-04505		片（量词）。
	U1-04506		〖词缀〗。
	U1-04601		间（量词）。
	U1-04602		薄。稀疏。
	U1-04603		窝（量词--指猪，狗，鸡等）。
	U1-04604		聋。
	U1-04605		绘画。
	U1-04606		夭折。
	U1-04701		（水）流。流（眼泪）。
	U1-04702		偶像。菩萨。
	U1-04703		
	U1-04704		滚。
	U1-04705		身体。〖洗澡，月经（讳称〗）。
	U1-04706		（送）脱。
	U1-04707		（木）渣。
	U1-04801		〖故事〗。
	U1-04802		渡槽。
	U1-04803		（粗）磨。
	U1-04804		漂浮。
	U1-04805		游（泳）。
	U1-04806		（脚）步。步（量词）。
	U1-04807		面（颊）。
	U1-04901		口（量词）。〖腮帮子〗。
	U1-04902		吹嘘，夸口。
	U1-04903		绵羊（古语）。
	U1-04904		开（自动）。
	U1-04905		（你，我，他）家。
	U1-04906		静。
	U1-04907		（小的〗〖畜生）圈。
	U1-05001		山。
	U1-05002		〖监狱〗。
	U1-05003		光明‘，光亮，明亮。〖月亮〗。
	U1-05004		〖大腿〗。
	U1-05005		〖门转轴〗，〖门闩〗。
	U1-05101		（身肌）丰满。〖丝瓜〗。
	U1-05201		钻（进）。
	U1-05202		鸣，叫。
	U1-05203		作客。
	U1-05204		搂（卷）。
	U1-05205		射（箭）。
	U1-05301		〖经络病〗。
	U1-05302		笨（不灵活）。
	U1-05303		果断。
	U1-05304		（梦）呓，语，话。
	U1-05305		说。语言。
	U1-05401		免疫。
	U1-05402		饱。饱满。胀。
	U1-05403		富裕。
	U1-05404		解（木板）〖把木头变成木板〗。
	U1-05405		繁衍。
	U1-05406		溢，漫。
	U1-05501		衣裳。
	U1-05502		〖被子〗。
	U1-05503		盖。罩。
	U1-05504		浮肿，水肿。
	U1-05505		漏斗。
	U1-05601		〖垢腻〗。
	U1-05602		眯（眼）。
	U1-05603		文（文史。梅葛（楚雄唱的一种调子））。
	U1-05604		（轻）撒，敷，掩（粉末）。
	U1-05605		〖肮脏〗。
	U1-05606		猫。
	U1-05701		棉（布，花）。
	U1-05702		要（语气助词）。
	U1-05703		天。
