glyph_unified	radical	other_stroke
쐀	쀂	2
쐁	쀃	2
쐂	쀤	3
쐃	쀁	3
쐄	쀤	4
쐅	쀓	3
쐆	쀅	4
쐇	쀓	2
쐈	쀚	3
쐉	쀛	3
쐊	쀑	4
쐋	쀤	1
쐌	쁕	2
쐍	쀗	1
쐎	쁓	4
쐏	쁟	2
쐐	쀅	1
쐑	쀂	4
쐒	쀱	2
쐓	쀓	2
쐔	쀧	3
쐕	쀘	4
쐖	쀤	2
쐗	쀗	4
쐙	쀋	2
쐚	쀑	5
쐛	쀅	3
쐜	쀃	2
쐝	쁝	2
쐞	쀚	2
쐟	쀉	1
쐠	쀤	1
쐡	쀃	4
쐢	쀧	4
쐣	쀹	5
쐤	삵	2
쐥	쀉	3
쐧	쀗	6
쐨	쁛	1
쐩	쀋	3
쐪	쀇	2
쐫	쀓	1
쐬	0	0
쐭	쁟	4
쐮	쁝	3
쐯	쀚	2
쐰	쀻	4
쐲	쀗	1
쐳	쀺	2
쐴	쀙	3
쐵	쀑	2
쐶	쁜	2
쐷	쀻	2
쐸	쀋	2
쐹	쀑	2
쐺	쀎	2
쐽	쀻	3
쐾	쀂	3
쐿	쀹	3
쑀	쀤	1
쑁	쁜	3
쑂	쁧	1
쑃	쀇	3
쑄	쁜	5
쑅	쁎	2
쑆	쁧	1
쑇	쀂	5
쑈	쀇	3
쑊	쀗	1
쑋	쀂	4
쑌	쀓	3
쑍	쀂	1
쑎	쁌	4
쑏	쀉	3
쑐	쀋	4
쑑	쁌	1
쑒	쁓	4
쑓	쀢	2
쑔	쀈	2
쑕	쁜	4
쑖	쀁	6
쑗	쀅	2
쑘	쀙	2
쑙	쀗	3
쑚	쁫 	2
쑛	쁮	3
쑜	쀋	2
쑝	쀤	5
쑞	쀂	4
쑟	쁜	2
쑠	쁮	2
쑡	쁕	3
쑢	쀓	2
쑣	쀤	3
쑤	쀃	4
쑥	쀃	3
쑦	쀅	2
쑧	쀂	5
쑨	쀃	2
쑩	쀓	2
쑪	쀉	4
쑫	쀂	4
쑬	쀰	1
쑭	쁌	1
쑮	쀲	1
쑯	쀉	2
쑰	쀋	5
쑱	쁫 	0
쑲	쀘	2
쑳	쀱	2
쑴	쀇	2
쑵	쀂	3
쑶	쀂	1
쑷	쀤	2
쑸	쁤	0
쑺	쀃	1
쑻	쀂	5
쑼	쀙	2
쑽	쀲	1
쑾	쀓	3
쑿	쀉	2
쒀	쀃	5
쒁	쀗	4
쒂	쀗	3
쒃	쁕	3
쒄	쀱	1
쒅	쀹	3
쒆	쀲	2
쒇	쁤	2
쒈	쀗	4
췖	쀗	3
쒊	쀱	0
쒋	쀹	2
쒌	쁦	1
쒍	쁌	5
쒎	쁤	2
쒏	쀙	2
쒐	쁕	2
쒑	쀗	5
쒓	쁟	0
쒔	쁞	1
쒕	쀃	1
쒖	쀅	4
쒗	쀂	3
쒘	쀧	3
쒙	쁞	1
쒚	쁔	1
쒛	쁞	2
쒜	쀓	2
쒝	쁞	3
쒞	쀺	2
쒟	쀚	0
쒠	쁮	2
쒡	쁮	2
쒢	쀋	2
쒣	쀉	4
쒤	쀇	3
쒥	쀎	2
쒦	쀂	2
쒧	쁮	0
쒨	쁮	1
쒩	쀉	4
쒪	쁤	2
쒫	쀈	3
쒬	쀙	2
쒭	쁜	3
쒮	섂	2
쒯	쀿	3
쒰	쀂	2
쒱	쀠	2
쒲	쀅	2
쒳	쀧	4
쒴	쀃	4
쒵	쀤	4
쒶	섇	0
쒷	쁜	4
쒸	쀇	3
쒹	쀂	3
쒺	쀂	4
쒻	섂	2
쒼	쁠	1
욽	쁓	3
쒾	쀋	2
쒿	쀇	0
쓀	쀱	2
쓁	쁝	1
쓂	쁮	3
쓃	쀋	2
쓄	쀃	1
쓅	쀃	3
쓆	쁔	2
쓇	쁮	2
쓈	쀃	2
쓉	쀟	3
쓊	쀋	2
쓋	쀧	1
쓌	쀤	2
쓍	쀋	2
쓎	쀑	2
쓏	쀋	2
쓐	쀂	3
쓑	쀗	2
쓒	쀋	2
쓓	쀺	1
쓔	쀅	4
쓕	쀂	2
쓖	쀃	3
쓗	쀓	2
쓘	쀉	3
쓙	쀉	2
쓚	쀈	5
쓛	쀇	3
쓜	쀂	2
쓝	쀃	3
쓞	쀇	1
쓟	쀳	0
쓠	쀎	4
쓡	쀃	2
쓢	쀉	2
쓣	쀗	3
쓥	쁓	3
쓦	쁌	1
쓧	쀅	3
쓨	쁜	3
쓩	쁓	2
쓪	쀧	1
