glyph_unified	radical	other_stroke
	쀃	4
	쀂	3
	쀓	3
	쀶	7
	쀂	3
	쁜	5
	쀻	3
	쀃	3
	쀑	3
	쀂	5
	쀂	1
	쀉	3
	쀃	2
	쀃	2
	쀫	2
	쁄	1
	쀛	2
	쀁	3
	쀿	1
	쁲	1
	쀂	1
	쀋	1
	쀂	6
	쀙	2
	쁄	2
	쀹	3
	쁠	3
	0	0
	쀃	4
	쁝	2
	쁝	2
	쁝	2
	쁝	1
	쀢	2
	쁝	2
	쁟	2
	쀁	9
	쀗	4
	쀉	3
	쀁	3
	쀋	4
	쀓	3
	쀃	3
	쀂	5
	쀓	3
	쀂	4
	쀂	4
	쁑	2
	쀓	5
	쁎	3
	쀉	6
	쀶	4
	쁎	3
	쀂	5
	쀉	4
	쀫	2
	쀋	4
	쀉	3
	쀉	5
	쀉	6
	쀛	3
	쁜	5
	쀛	3
	쀓	5
	쀗	2
	쀶	3
	쁚	3
	쀛	3
	쀂	3
	솸	1
	쀂	4
	쀤	5
	쀂	6
	쀛	1
	쁏	4
	쁝	4
	쁛	2
	쁜	4
	쀠	4
	쀉	6
	쁜	5
	쀱	0
	쀉	3
	쀃	4
	쀇	3
	쀁	5
	0	0
	쀉	6
	쀓	3
	쀓	2
	쀫	1
	0	0
	쀛	3
	쀰	4
	쀪	2
	쀃	4
	쀃	4
	쀋	3
	쀳	2
	쀋	3
	쀂	4
	쀁	4
	쀴	3
	쀴	2
	쀧	2
	쀉	3
	쀁	4
	쀃	4
	쀁	5
	쀁	4
	쀁	4
	쀁	4
	쁭	5
	쀓	4
	쀋	4
	쀱	2
	쁛	2
	쀁	3
	쁟	0
	쁄	2
	쀁	3
	쁄	4
	쀇	3
	쀶	5
	쀂	5
	쀂	4
	쀧	5
	0	0
	쀠	2
	솸	3
	쁜	2
	쀃	3
	쁜	2
	쁝	4
	쀓	3
	쀓	3
	쀲	6
	쁟	1
	쀁	5
	쀂	5
	쀘	3
	쀁	4
	쁎	4
	쀘	1
	쀂	4
	쀃	3
	쀙	5
	0	0
	쀅	1
	쀂	4
	쀹	4
	0	0
	쁔	1
	쀢	2
	쀸	2
	쀉	5
	쀂	5
	쁄	0
	쁜	2
	쀉	2
	쀓	1
	섂	3
	쁕	2
	쀠	4
	쀁	5
	쀃	3
	쀶	1
	쀅	10
	쀉	3
	쁜	2
	쀁	5
	쀂	4
	쀃	4
	쀁	6
	쀅	5
	쀅	5
	쁎	4
	쁎	3
	쀑	4
	쁓	3
	쀫	1
	쁕	5
	쀺	1
	쀪	4
	쀺	2
	쁜	4
	쀴	2
	쀳	2
	쀰	2
	쀳	3
	쀴	2
	쁭	5
	쁝	5
	쀲	3
	쀃	6
	쁱	4
	쁱	3
	쀋	5
	쁝	4
	쀅	2
	쀲	5
	쀓	3
	쀂	4
	쀉	5
	쀻	3
	쀅	3
	쀺	3
	쀸	5
	쀶	2
	쀶	3
	쀻	4
	쀶	3
	쀂	4
	쀲	4
	쀉	4
	0	0
	쁔	2
	0	0
	0	0
	쀁	3
	쀉	5
	쀂	2
	쀃	5
	쁔	3
	쀑	2
	쁔	2
	쀑	3
	쀃	2
	쀃	3
	쀿	4
	쀎	3
	쀂	3
	쀶	3
	쀂	3
	쀋	6
	쀃	2
	쀋	3
	쀑	3
	0	0
	쀋	5
	쀫	1
	쀫	1
	쀶	4
	쀛	4
	쀑	3
	쀑	3
	쁛	2
	쁜	4
	쀤	3
	쁜	2
	쀪	1
	쀧	1
	쁜	3
	쀉	10
	쀋	3
	쀂	6
	쁜	3
	쀸	2
