glyph_unified	radical	other_stroke
	쀃	4
		
	쀤	4
	쀗	3
	쀂	3
	쀤	3
	쁝	1
	쀂	4
	쀉	3
	쀂	1
	쀑	3
	쀤	4
	쀪	1
		
	쁄	1
	쀛	2
	쀂	4
	쀤	2
	쀂	4
	쀙	2
	쀚	2
	쀛	7
	쀛	2
	쀧	2
	쀛	1
	쀤	5
	쁜	2
	쁝	2
	쀇	2
	쀃	2
	쀂	3
	쀋	2
	쁝	2
		
	쀃	4
	쀛	2
	쁟	2
	쀹	3
	쀉	2
	쀁	3
	쀑	3
	쁧	1
		
	쀂	4
	쀓	3
	쀃	3
	쀃	3
	쀤	3
	쀢	2
	쀁	3
	쀉	3
	쀤	2
	쀤	3
	쀹	2
	쀻	2
	쀇	3
	쁏	2
	쀂	6
	쀤	3
	쀋	4
	쀗	3
	쀉	3
	쀉	5
	쀉	5
	쀋	3
	쁜	5
	쀓	5
	쁟	4
	쀛	2
	쀿	3
	쀛	3
	쀂	3
	쀂	3
	쀅	1
	쁓	4
	쀇	2
	쀑	3
	쀠	4
	쀛	2
	쀤	4
	쀁	2
	쁝	4
	쀛	2
	쀶	4
	쀂	5
	쀋	4
	쀉	4
	쀫	2
	쁎	3
	쀤	1
	쁓	3
	쀤	2
	쀂	3
	쀋	2
	쀻	3
	쀎	2
		
	쁜	4
	쁌	1
	쁭	2
	쀇	3
	쀃	4
	쀱	0
	쀙	3
	쀉	2
	쁤	0
	쀂	2
	쀇	1
	쀫	1
	쀑	5
	쀛	3
	쀑	3
	쀘	3
	쀱	2
	쀇	3
	쀃	4
	쀃	4
	쀳	2
	쀱	3
	쀋	3
	쀇	2
	쀋	3
	쀙	4
	쀁	4
	쀉	2
	쀛	4
	쀧	2
	쀉	3
	쀗	3
	쀃	4
	쀁	4
	쀁	4
	쀛	4
	쀛	4
	쀋	5
	쀤	3
	쀛	7
	쀛	4
	쀂	2
	쀱	2
	쀂	3
	쀹	3
		
	쁫	2
	쀁	3
	쀂	4
	쁧	2
	쀛	3
	쁔	5
	쀤	3
	쀁	3
	쀉	3
	쀠	2
	쁝	4
	쁜	2
	쀓	3
	쀅	2
	쁔	2
		
	쀤	3
	쀧	0
	쁟	1
	쀂	5
	쀁	5
	쀘	3
	쀤	3
	쀓	2
	쀓	2
	쁔	5
	쀛	3
	쀉	3
	쀑	0
		
	쀃	3
	쀎	2
	쀙	5
	쀘	1
	쁎	1
	쀇	3
	쀺	3
	쀧	4
	쀧	2
	쁟	2
	쀋	2
	쀢	2
	쀉	4
	쀃	3
	쀱	2
	쁔	1
	쀁	3
	쁄	0
	쀃	3
	쀤	3
	쀉	3
	쀈	2
	쀃	3
	쀓	1
